Compound	Modifier	Head	FreqComp	FreqMod	FreqHead	ProdMod	ProdHead	AmbMod	AmbHead
Abiturnote	Abitur	Note	2042	122407	288797	16	27	1	5
Abiturzeugnis	Abitur	Zeugnis	2433	122407	198179	16	30	1	3
Ablagefläche	Ablage	Fläche	3199	27224	565210	4	222	2	2
Ablauforganisation	Ablauf	Organisation	2898	411945	873870	8	254	5	3
Abschiedsspiel	Abschied	Spiel	3064	171399	4122168	69	403	2	6
Abstandsfläche	Abstand	Fläche	2388	537520	565210	9	222	3	2
Abzugsfähigkeit	Abzug	Fähigkeit	2490	125808	691050	16	155	5	2
Ackerfläche	Acker	Fläche	11599	67182	565210	36	222	1	2
Adelsstand	Adel	Stand	2456	53825	846433	41	195	1	6
Akustikgitarre	Akustik	Gitarre	6236	27572	222294	3	13	1	1
Alpenrand	Alp	Rand	2007	126711	523473	90	98	1	2
Ammenmärchen	Amme	Märchen	3440	7148	153115	3	43	1	1
Amtsinhaber	Amt	Inhaber	10454	606168	141415	184	45	3	1
Anbaufläche	Anbau	Fläche	14331	133800	565210	25	222	3	2
Anfangsphase	Anfang	Phase	34947	2173541	504204	69	136	2	1
Angestelltenverhältnis	Angestellte	Verhältnis	4295	201743	867130	31	142	1	3
Angriffsfläche	Angriff	Fläche	8334	603352	565210	66	222	2	2
Angriffsspiel	Angriff	Spiel	8651	603352	4122168	66	403	2	6
Anlaufphase	Anlauf	Phase	2345	74673	504204	18	136	2	1
Ansatzweise	Ansatz	Weise	2623	593945	1702202	3	121	6	4
Anschlussfähigkeit	Anschluss	Fähigkeit	2204	646948	691050	67	155	5	2
Ansichtskarte	Ansicht	Karte	9148	576473	1267171	3	233	3	4
Ansichtssache	Ansicht	Sache	15087	576473	2658027	3	95	3	2
Anteilseigner	Anteil	Eigner	13922	678546	15137	12	22	3	1
Apfelsaft	Apfel	Saft	13728	178201	103159	50	43	2	2
Arbeitsfähigkeit	Arbeit	Fähigkeit	9329	3399409	691050	461	155	4	2
Arbeitsfläche	Arbeit	Fläche	14484	3399409	565210	461	222	4	2
Arbeitsprozess	Arbeit	Prozess	24380	3399409	894542	461	193	4	3
Arbeitsstelle	Arbeit	Stelle	43632	3399409	1618757	461	315	4	4
Arbeitsverhältnis	Arbeit	Verhältnis	116755	3399409	867130	461	142	4	3
Arbeitsweise	Arbeit	Weise	70558	3399409	1702202	461	121	4	4
Arbeitszeugnis	Arbeit	Zeugnis	11192	3399409	198179	461	30	4	3
Argumentationskette	Argumentation	Kette	3477	131737	207479	33	139	1	4
Armutszeugnis	Armut	Zeugnis	14181	196999	198179	40	30	1	3
Aromatherapie	Aroma	Therapie	5309	78003	490731	5	69	2	1
Atemzug	Atem	Zug	40986	125423	1036257	40	200	1	11
Aufbauphase	Aufbau	Phase	5662	528625	504204	65	136	4	1
Auffassungsgabe	Auffassung	Gabe	6556	326047	142582	3	28	2	2
Auftaktspiel	Auftakt	Spiel	6087	128229	4122168	34	403	2	6
Augenkontakt	Auge	Kontakt	4416	2378966	1212088	80	65	3	4
Ausbildungsphase	Ausbildung	Phase	2398	977796	504204	162	136	2	1
Ausbildungsstand	Ausbildung	Stand	7626	977796	846433	162	195	2	6
Ausbildungsverhältnis	Ausbildung	Verhältnis	6597	977796	867130	162	142	2	3
Ausdrucksfähigkeit	Ausdruck	Fähigkeit	3789	593889	691050	41	155	4	2
Ausgleichsfläche	Ausgleich	Fläche	4016	268370	565210	48	222	2	2
Auslandsschuld	Ausland	Schuld	2510	522934	496468	188	55	1	2
Ausstellungsfläche	Ausstellung	Fläche	14075	698591	565210	159	222	1	2
Ausstellungsraum	Ausstellung	Raum	19553	698591	1826104	159	405	1	7
Auswahlgespräch	Auswahl	Gespräch	3210	774746	1213738	35	178	3	1
Auswahlkommission	Auswahl	Kommission	2140	774746	271576	35	187	3	2
Auswahlkriterium	Auswahl	Kriterium	12840	774746	381125	35	34	3	1
Auswahlmannschaft	Auswahl	Mannschaft	2761	774746	1362476	35	115	3	1
Auswahlprozess	Auswahl	Prozess	2724	774746	894542	35	193	3	3
Autozug	Auto	Zug	2234	1825683	1036257	359	200	1	11
Bahnchef	Bahn	Chef	4494	463018	394992	159	283	5	1
Ballkontakt	Ball	Kontakt	5692	721322	1212088	82	65	3	4
Ballspiel	Ball	Spiel	5283	721322	4122168	82	403	3	6
Beckenboden	Becken	Boden	6434	262297	1184424	21	99	3	5
Beckenrand	Becken	Rand	5519	262297	523473	21	98	3	2
Bergarbeiter	Berg	Arbeiter	6010	564178	256243	205	137	2	2
Bergführer	Berg	Führer	7551	564178	173872	205	234	2	3
Bergkette	Berg	Kette	8799	564178	207479	205	139	2	4
Bergwerk	Berg	Werk	27194	564178	1354148	205	366	2	6
Berufsstand	Beruf	Stand	19513	666598	846433	214	195	1	6
Beschlussfähigkeit	Beschluss	Fähigkeit	4913	396985	691050	19	155	2	2
Beschwerdeführer	Beschwerde	Führer	108611	375611	173872	25	234	2	3
Besitzstand	Besitz	Stand	6656	282029	846433	27	195	1	6
Besitzverhältnis	Besitz	Verhältnis	5832	282029	867130	27	142	1	3
Beutezug	Beute	Zug	3502	87662	1036257	27	200	3	11
Beweismittel	Beweis	Mittel	22408	386756	805603	37	204	1	6
Bezirkstag	Bezirk	Tag	3265	214234	8129618	150	444	2	3
Bezugsquelle	Bezug	Quelle	14785	709321	777720	31	103	3	3
Bierstand	Bier	Stand	2921	415101	846433	165	195	1	6
Bildagentur	Bild	Agentur	2174	5015121	249455	331	62	7	1
Bildarchiv	Bild	Archiv	5135	5015121	320284	331	59	7	3
Bildauswahl	Bild	Auswahl	2145	5015121	774746	331	68	7	3
Bildbeispiel	Bild	Beispiel	2014	5015121	3287567	331	35	7	2
Bilddokument	Bild	Dokument	3070	5015121	427760	331	45	7	3
Bildelement	Bild	Element	4783	5015121	666577	331	85	7	4
Bilderflut	Bild	Flut	3417	5015121	69999	331	93	7	3
Bildergalerie	Bild	Galerie	33268	5015121	176458	331	66	7	6
Bildergeschichte	Bild	Geschichte	4770	5015121	2988292	331	380	7	7
Bilderrätsel	Bild	Rätsel	2783	5015121	163613	331	14	7	2
Bilderrahmen	Bild	Rahmen	17336	5015121	2033824	331	80	7	4
Bildersammlung	Bild	Sammlung	2277	5015121	354876	331	161	7	3
Bilderserie	Bild	Serie	5958	5015121	800751	331	129	7	3
Bildersprache	Bild	Sprache	2775	5015121	1235871	331	140	7	1
Bilderverbot	Bild	Verbot	2013	5015121	232408	331	165	7	1
Bilderwelt	Bild	Welt	5776	5015121	4049629	331	233	7	5
